CustomerID,Edad,Ingresos Anuales (k$),Puntuación de Gasto (1-100),Categoría de Producto Favorito
51,32.0,41,28.0,Home
52,33.0,42,35.0,Electronics
53,34.0,43,52.0,Books
54,35.0,43,51.0,Food
55,36.0,44,55.0,Home
56,37.0,44,46.0,Electronics
57,38.0,45,55.0,Books
58,39.0,45,54.0,Food
59,40.0,45,50.0,Home
60,41.0,46,37.0,Electronics
61,42.0,46,46.0,Books
62,20.0,46,62.0,Food
63,47.0,47,37.0,Home
64,48.0,47,46.0,Electronics
65,49.0,48,46.0,Books
66,47.0,48,55.0,Food
67,53.0,48,52.0,Home
68,48.0,48,59.0,Electronics
69,34.0,48,60.0,Books
70,34.0,49,37.0,Food
71,43.0,49,46.0,Home
72,69.0,50,46.0,Electronics
73,39.0,50,46.0,Books
74,28.0,50,55.0,Food
75,43.0,51,41.0,Home
76,36.0,51,50.0,Electronics
77,27.0,52,50.0,Books
78,37.0,52,46.0,Food
79,39.0,54,41.0,Home
80,27.0,54,48.0,Electronics
81,38.0,54,55.0,Books
82,30.0,54,58.0,Food
83,29.0,55,55.0,Home
84,35.0,55,58.0,Electronics
85,35.0,55,58.0,Books
86,42.0,55,55.0,Food
87,36.0,57,58.0,Home
88,32.0,57,50.0,Electronics
89,34.0,58,60.0,Books
90,29.0,58,68.0,Food
91,43.0,59,60.0,Home
92,38.0,59,60.0,Electronics
93,46.0,60,55.0,Books
94,27.0,60,40.0,Food
95,32.0,60,42.0,Home
96,32.0,60,37.0,Electronics
97,26.0,61,42.0,Books
98,25.0,61,41.0,Food
99,29.0,61,42.0,Home
100,33.0,62,48.0,Electronics
1,19.0,15,39.0,Books
2,21.0,15,81.0,Electronics
3,20.0,16,6.0,Books
4,23.0,16,77.0,Food
5,31.0,17,40.0,Books
6,22.0,17,76.0,Electronics
7,35.0,18,6.0,Home
8,23.0,18,94.0,Books
9,64.0,19,3.0,Home
10,30.0,19,72.0,Electronics
11,67.0,19,14.0,Books
12,35.0,19,99.0,Food
13,58.0,20,15.0,Home
14,24.0,20,77.0,Electronics
15,37.0,20,13.0,Books
16,22.0,20,79.0,Food
17,35.0,21,35.0,Home
18,20.0,21,66.0,Electronics
19,52.0,23,29.0,Books
20,35.0,23,98.0,Food
21,45.0,24,35.0,Home
22,25.0,24,73.0,Electronics
23,46.0,25,5.0,Books
24,31.0,25,73.0,Food
25,54.0,28,14.0,Home
26,29.0,28,82.0,Electronics
27,45.0,28,32.0,Books
28,35.0,28,61.0,Food
29,40.0,29,31.0,Home
30,23.0,29,87.0,Electronics
31,60.0,30,4.0,Books
32,21.0,30,73.0,Food
33,53.0,33,4.0,Home
34,18.0,33,92.0,Electronics
35,49.0,33,14.0,Books
36,21.0,33,81.0,Food
37,42.0,34,17.0,Home
38,30.0,34,73.0,Electronics
39,36.0,37,26.0,Books
40,20.0,37,75.0,Food
41,65.0,38,35.0,Home
42,24.0,38,92.0,Electronics
43,48.0,39,36.0,Books
44,31.0,39,61.0,Food
45,49.0,39,28.0,Home
46,24.0,39,65.0,Electronics
47,50.0,40,55.0,Books
48,27.0,40,47.0,Food
49,29.0,40,42.0,Home
50,31.0,40,42.0,Electronics
101,54.0,62,48.0,Home
102,28.0,62,59.0,Electronics
103,32.0,62,55.0,Books
104,33.0,63,41.0,Food
105,34.0,63,50.0,Home
106,37.0,63,46.0,Electronics
107,52.0,63,43.0,Books
108,54.0,64,48.0,Food
109,30.0,65,48.0,Home
110,26.0,65,48.0,Electronics
111,29.0,65,42.0,Books
112,22.0,65,55.0,Food
113,31.0,66,46.0,Home
114,35.0,67,55.0,Electronics
115,34.0,67,41.0,Books
116,29.0,67,50.0,Food
117,30.0,67,46.0,Home
118,35.0,69,46.0,Electronics
119,30.0,69,46.0,Books
120,35.0,70,46.0,Food
121,53.0,71,46.0,Home
122,23.0,71,59.0,Electronics
123,44.0,71,55.0,Books
124,34.0,71,46.0,Food
125,25.0,72,46.0,Home
126,31.0,72,46.0,Electronics
127,38.0,73,55.0,Books
128,24.0,73,59.0,Food
129,33.0,73,55.0,Home
130,34.0,73,59.0,Electronics
131,38.0,74,55.0,Books
132,47.0,75,35.0,Food
133,35.0,75,35.0,Home
134,22.0,75,35.0,Electronics
135,34.0,77,35.0,Books
136,28.0,77,35.0,Food
137,32.0,77,30.0,Home
138,33.0,77,35.0,Electronics
139,38.0,78,35.0,Books
140,47.0,78,35.0,Food
141,35.0,78,35.0,Home
142,22.0,78,30.0,Electronics
143,33.0,79,30.0,Books
144,38.0,81,30.0,Food
145,47.0,85,5.0,Home
146,35.0,85,5.0,Electronics
147,22.0,86,5.0,Books
148,36.0,87,5.0,Food
149,55.0,87,5.0,Home
150,28.0,87,5.0,Electronics
151,32.0,88,5.0,Books
152,18.0,88,5.0,Food
153,48.0,88,4.0,Home
154,32.0,88,4.0,Electronics
155,34.0,88,4.0,Books
156,40.0,89,4.0,Food
157,34.0,89,4.0,Home
158,43.0,90,4.0,Electronics
159,43.0,91,4.0,Books
160,35.0,92,4.0,Food
161,32.0,93,4.0,Home
162,27.0,93,4.0,Electronics
163,38.0,97,4.0,Books
164,45.0,98,5.0,Food
165,35.0,99,6.0,Home
166,32.0,101,5.0,Electronics
167,40.0,103,4.0,Books
168,42.0,112,4.0,Food
