CustomerID,Edad,Ingresos Anuales (k$),Puntuación de Gasto (1-100),Categoría de Producto Favorito
51,32,41,28,Home
52,33,42,35,electronics
53,34,43,52,Books
54,35,43,51,food
55,36,44,55,Home
56,37,44,46,Electronics
57,38,45,55,BOOKS
58,39,45,54,Food
59,40,45,50,Home
60,41,46,37,Electronics
61,42,46,46,Books
62,20,46,62,Food
63,47,47,37,Home
64,48,47,46,Electronics
65,49,48,46,Books
66,47,48,55,Food
67,53,48,52,Home
68,48,48,59,Electronics
69,34,48,60,Books
70,34,49,37,Food
71,43,49,46,Home
72,69,50,46,Electronics
73,39,50,46,Books
74,28,50,55,Food
75,43,51,41,Home
76,36,51,50,Electronics
77,27,52,50,Books
78,37,52,46,Food
79,39,54,41,Home
80,27,54,48,Electronics
81,38,54,55,Books
82,30,54,58,Food
83,29,55,55,Home
84,35,55,58,Electronics
85,35,55,58,Books
86,42,55,55,Food
87,,57,58,Home
88,32,57,,Electronics
89,34,58,60,Books
90,29,58,68,Food
91,43,59,60,Home
92,38,59,60,Electronics
93,46,60,55,Books
94,27,60,40,Food
95,32,60,42,Home
96,32,60,37,Electronics
97,26,61,42,Books
98,25,61,41,Food
99,29,61,42,Home
100,33,62,48,Electronics
51,33,42,35,Electronics
