CustomerID,Edad,Ingresos Anuales (k$),Puntuación de Gasto (1-100),Categoría de Producto Favorito
101,54,62,48,Home
102,28,62,59,Electronics
103,32,62,55,Books
104,33,63,41,Food
105,34,63,50,Home
106,37,63,46,Electronics
107,52,63,43,Books
108,54,64,48,Food
109,30,65,48,Home
110,26,65,48,Electronics
111,29,65,42,Books
112,22,65,55,Food
113,31,66,46,Home
114,35,67,55,Electronics
115,34,67,41,Books
116,29,67,50,Food
117,30,67,46,Home
118,35,69,46,Electronics
119,30,69,46,Books
120,35,70,46,Food
121,53,71,46,Home
122,23,71,59,Electronics
123,44,71,55,Books
124,34,71,46,Food
125,25,72,46,Home
126,31,72,46,Electronics
127,38,73,55,Books
128,24,73,59,Food
129,33,73,55,Home
130,34,73,59,Electronics
131,38,74,55,Books
132,47,75,35,Food
133,35,75,35,Home
134,22,75,35,Electronics
135,34,77,35,Books
136,28,77,35,Food
137,32,77,30,Home
138,33,77,35,Electronics
139,38,78,35,Books
140,47,78,35,Food
141,35,78,35,Home
142,22,78,30,Electronics
143,33,79,30,Books
144,38,81,30,Food
145,47,85,5,Home
146,35,85,5,Electronics
147,22,86,5,Books
148,36,87,5,Food
149,55,87,5,Home
150,28,87,5,Electronics
151,32,88,5,Books
152,18,88,5,Food
153,48,88,4,Home
154,32,88,4,Electronics
155,34,88,4,Books
156,40,89,4,Food
157,34,89,4,Home
158,43,90,4,Electronics
159,43,91,4,Books
160,35,92,4,Food
161,32,93,4,Home
162,27,93,4,Electronics
163,38,97,4,Books
164,45,98,5,Food
165,35,99,6,Home
166,32,101,5,Electronics
167,40,103,4,Books
168,42,112,4,Food
169,999,125,38,Home
170,35,9999,42,Electronics
171,38,130,105,Books
